Rank,Location,totalCases,Deaths,Recoveries,References
1,World[e],"152,875,042","3,202,699","89,625,669",[2]
2,United States[f],"32,610,374","583,148",No data,[9]
3,India,"19,557,457","215,542","15,992,271",[10]
4,Brazil,"14,725,975","406,565","13,242,665",[11][12]
5,France[g],"5,652,247","104,819",No data,[13][14]
6,Turkey[h],"4,875,388","40,844","4,480,381",[18]
7,Russia[i],"4,831,744","111,198","4,450,289",[19]
8,United Kingdom[j],"4,420,201","127,538",No data,[21]
9,Italy,"4,044,762","121,177","3,492,679",[22]
10,Spain[k],"3,524,077","78,216",No data,[23]
11,Germany[l],"3,412,373","83,702","3,011,730",[25][24]
12,Argentina[m],"3,005,196","64,252","2,676,134",[27]
13,Colombia,"2,893,655","74,700","2,700,594",[28]
14,Poland,"2,805,756","68,105","2,529,844",[29]
15,Iran,"2,555,587","72,875","2,004,949",[30]
16,Mexico,"2,348,873","217,233","1,869,529",[31]
17,Ukraine[n],"2,085,938","44,750","1,681,815",[32][33]
18,Peru,"1,810,998","62,126","1,754,906",[34][35]
19,Indonesia,"1,677,274","45,796","1,530,718",[36]
20,Czech Republic,"1,634,619","29,365","1,562,295",[37]
21,South Africa,"1,584,064","54,417","1,507,778",[38][39]
22,Netherlands[o],"1,507,615","17,172",No data,[41][42]
23,Canada[p],"1,234,181","24,300","1,126,138",[45]
24,Chile[q],"1,210,920","26,561","1,143,565",[49]
25,Iraq,"1,074,930","15,536","957,200",[50]
26,Philippines,"1,062,225","17,525","975,234",[51][52]
27,Romania,"1,058,337","28,380","997,749",[53]
28,Belgium[r],"995,562","24,291",No data,[55][56]
29,Sweden,"973,604","14,048",No data,[57]
30,Israel[s],"838,576","6,366","830,922",[58]
31,Portugal,"837,277","16,977","796,721",[59][60]
32,Pakistan,"834,146","18,149","728,044",[61]
33,Hungary,"784,111","27,908","528,201",[62]
34,Bangladesh,"763,682","11,644","691,162",[63][64]
35,Jordan,"712,077","8,871","685,010",[65]
36,Serbia[t],"691,920","6,409",No data,[66]
37,Switzerland[u],"659,974","10,027","317,600",[67][68]
38,Austria,"623,201","10,260","591,525",[69]
39,Japan[v],"602,862","10,361","531,069",[70]
40,Lebanon,"528,208","7,324","464,660",[71]
41,United Arab Emirates,"525,567","1,596","506,020",[72]
42,Morocco[w],"511,856","9,028","498,415",[73]
43,Saudi Arabia,"419,348","6,979","402,664",[74]
44,Malaysia,"417,512","1,551","385,208",[75]
45,Bulgaria,"405,194","16,492","340,442",[76][77]
46,Ecuador,"387,299","18,740","329,582",[78][79]
47,Slovakia,"383,228","11,807",No data,[80]
48,Panama,"365,104","6,238","354,974",[81]
49,Belarus,"361,897","2,572","352,464",[82]
50,Greece,"346,422","10,453",No data,[83]
51,Nepal,"336,030","3,325","283,994",[84]
52,Croatia,"335,522","7,218","316,926",[85]
53,Kazakhstan,"327,995","3,733","280,342",[86][87]
54,Azerbaijan[x],"321,380","4,561","293,689",[88]
55,Georgia[y],"312,954","4,163","294,252",[89]
56,Tunisia,"311,743","10,868","262,602",[90]
57,Bolivia,"307,561","13,021","253,406",[91]
58,Palestine,"297,638","3,272","275,392",[92]
59,Paraguay,"282,543","6,572","233,453",[93]
60,Kuwait,"276,586","1,578","260,008",[94]
61,Dominican Republic,"267,455","3,493","227,924",[95]
62,Ethiopia,"258,384","3,726","200,508",[96]
63,Denmark[z],"252,912","2,490","240,569",[97][98]
64,Moldova[aa],"251,335","5,838","240,834",[99]
65,Costa Rica,"250,991","3,231","203,009",[100]
66,Lithuania,"250,337","3,956","224,942",[101][102]
67,Ireland,"249,838","4,906",No data,[103]
68,Slovenia,"241,672","4,263",No data,[104][105]
69,Egypt[ab],"229,635","13,469","172,342",[106]
70,Guatemala,"228,684","7,558","205,365",[107]
71,Armenia,"217,008","4,139","200,472",[108]
72,Honduras,"213,970","5,334","79,096",[109][110]
73,Qatar,"206,948",472,"192,551",[111]
74,Uruguay,"202,492","2,724","173,769",[112][113]
75,Venezuela,"198,865","2,155","180,301",[114]
76,Bosnia and Herzegovina,"198,461","8,551","159,223",[115]
77,Oman,"196,900","2,053","178,052",[116]
78,Bahrain,"179,297",651,"167,852",[117]
79,Libya,"177,871","3,039","163,716",[118]
80,Nigeria,"165,167","2,063","155,361",[119]
81,Kenya,"160,422","2,763","108,861",[120]
82,North Macedonia,"152,685","4,936","133,473",[121]
83,Myanmar,"142,838","3,209","131,981",[122]
84,Albania,"131,238","2,397","110,920",[123][124]
85,South Korea,"123,728","1,834","113,356",[125][126]
86,Estonia,"122,943","1,172","112,480",[127][128]
87,Algeria,"122,522","3,270","85,398",[129]
88,Latvia,"119,953","2,154","109,480",[130][131]
89,Puerto Rico,"117,225","2,315",No data,[132][133]
90,Norway[ac],"113,469",756,"88,952",[136]
91,Sri Lanka,"111,753",696,"98,209",[137][138]
92,Cuba[ad],"108,693",664,"102,339",[139][140]
93,Kosovo,"105,535","2,183","95,045",[141]
94,Montenegro,"97,389","1,495","93,527",[142]
95,Kyrgyzstan,"96,337","1,622","89,921",[143]
96,Ghana,"92,683",779,"90,324",[144]
97,Zambia,"91,693","1,253","90,082",[145]
98,Uzbekistan,"90,808",649,"87,067",[146]
99,China[ae],"90,697","4,636","85,738",[147]
100,Finland[af],"87,345",915,"31,000",[150][151]
101,Thailand,"71,025",276,"40,984",[152][153]
102,Cameroon,"70,607","1,064","57,821",[154][155]
103,Mozambique,"69,984",815,"66,931",[156]
104,El Salvador,"69,465","2,134","65,015",[157]
105,Luxembourg,"67,397",793,"63,661",[158]
106,Cyprus[ag],"66,430",314,No data,[159]
107,Singapore,"61,218",31,"60,786",[160]
108,Afghanistan,"60,300","2,642","53,391",[161]
109,Namibia,"48,654",643,"46,238",[162]
110,Ivory Coast,"46,150",287,"45,644",[163][164]
111,Jamaica,"45,867",784,"21,293",[165][166]
112,Botswana[ah],"43,994",702,"41,844",[168]
113,Uganda,"41,973",342,"41,598",[169][170]
114,Senegal,"40,433","1,110","39,158",[171]
115,Mongolia,"39,381",119,"22,932",[172]
116,Zimbabwe,"38,281","1,570","35,634",[173]
117,Madagascar,"37,296",654,"28,868",[174][175]
118,Malawi,"34,096","1,148","32,069",[176]
119,Donetsk PR[ai],"33,570","2,541","26,664",[177]
120,Sudan,"33,104","2,349","26,795",[178][179]
121,Malta,"30,354",416,"29,658",[180]
122,Maldives,"30,237",74,"24,927",[181]
123,DR Congo[aj],"30,005",768,"26,250",[182][183]
124,Australia[ak],"29,841",910,No data,[184]
125,Angola,"26,993",602,"23,913",[185]
126,Rwanda,"25,253",337,"23,44",[186][187]
127,Cape Verde,"24,368",223,"20,899",[188]
128,Gabon,"23,075",139,"19,629",[189]
129,Guinea,"22,333",146,"19,813",[190]
130,Syria[al],"22,265","1,548","16,097",[191]
131,French Polynesia,"18,758",141,"4,842",[192]
132,Eswatini,"18,458",671,"17,748",[193]
133,Mauritania,"18,448",455,"17,725",[194][195]
134,Cambodia,"15,361",106,"5,430",[196]
135,Abkhazia[am],"14,557",222,"13,623",[197]
136,Mali,"13,915",489,"8,733",[198]
137,Tajikistan,"13,714",91,"13,218",[199][200]
138,Somalia[an],"13,670",698,"5,539",[201]
139,Burkina Faso,"13,324",157,"13,067",[202][203]
140,Guyana,"13,283",296,"11,208",[204]
141,Andorra,"13,282",127,"12,753",[205]
142,Haiti,"13,094",254,"12,148",[206]
143,Togo,"13,010",123,"11,269",[207]
144,Belize,"12,668",323,"12,218",[208]
145,Curaçao,"12,210",111,"11,711",[209]
146,Hong Kong,"11,787",210,"11,445",[210]
147,Trinidad and Tobago,"11,313",174,"8,633",[211][212]
148,Papua New Guinea,"11,206",115,"9,475",[213]
149,Djibouti,"11,157",146,"10,816",[214]
150,Lesotho,"10,733",318,"6,267",[215]
151,Congo[ao],"10,678",144,"8,208",[216][217]
152,Aruba,"10,650",99,"10,402",[218]
153,South Sudan,"10,602",115,"10,312",[219]
154,Suriname,"10,489",207,"9,414",[220]
155,Bahamas[ap],"10,453",199,"9,494",[221]
156,Guam[aq],"7,989",136,"7,758",[9][222]
157,Benin,"7,821",99,"7,580",[223]
158,Equatorial Guinea,"7,694",112,"7,279",[224]
159,Nicaragua,"6,898",182,No data,[225]
160,Iceland,"6,483",29,"6,280",[226]
161,Central African Republic,"6,411",88,"5,112",[227][228]
162,Yemen,"6,341","1,233","2,875",[229]
163,Northern Cyprus[ar],"6,361",32,"5,696",[230]
164,The Gambia,"5,901",175,"5,419",[231]
165,Seychelles,"5,873",28,"5,101",[232][233]
166,Niger,"5,251",191,"4,857",[234][235]
167,San Marino,"5,066",90,"4,917",[236]
168,Chad,"4,828",170,"4,430",[237][238]
169,Saint Lucia,"4,560",74,"4,368",[239]
170,Luhansk PR[ai],"4,332",403,"3,782",[240]
171,Gibraltar,"4,283",94,"4,186",[241]
172,Sierra Leone,"4,062",79,"3,078",[242]
173,Burundi,"4,038",6,773,[243]
174,Somaliland[as],"3,946",247,"2,781",[244][245]
175,Barbados,"3,866",44,"3,800",[246]
176,Comoros,"3,840",146,"3,675",[247]
177,Guinea-Bissau,"3,736",67,"3,338",[248][249]
178,Eritrea,"3,671",10,"3,492",[250]
179,South Ossetia[at],"3,296",60+,"2,963",[251]
180,Jersey,"3,234",69,"3,172",[252]
181,U.S. Virgin Islands,"3,138",27,"3,049",[253][254]
182,Vietnam,"2,962",35,"2,549",[255]
183,Liechtenstein,"2,946",57,"2,818",[256]
184,Artsakh[au],"2,673",31,337,[257]
185,East Timor,"2,524",4,"1,265",[258][259]
186,Monaco,"2,457",32,"2,369",[260]
187,Bermuda,"2,393",28,"1,820",[261]
188,Turks and Caicos Islands,"2,393",17,"2,343",[262]
189,São Tomé and Príncipe,"2,310",35,"2,244",[263]
190,New Zealand,"2,266",26,"2,215",[264][265]
191,Sint Maarten,"2,230",27,"2,187",[266]
192,Liberia,"2,099",85,"1,949",[267]
193,Saint Vincent and The Grenadines,"1,864",11,"1,715",[268]
194,Isle of Man[av],"1,590",29,"1,445",[270]
195,Bonaire,"1,533",16,"1,504",[271]
196,Antigua and Barbuda,"1,232",32,"1,014",[272]
197,Mauritius,"1,211",17,"1,088",[273]
198,Taiwan[aw],"1,145",12,"1,058",[275]
199,Bhutan,"1,111",1,993,[276]
200,USS Theodore Roosevelt[aq],"1,102",1,751,[277][278]
201,Charles de Gaulle[ax],"1,081",0,0,[279]
202,Laos,966,0,60,[283]
203,Guernsey,822,14,808,[284]
204,Diamond Princess[v],712,14,698,[285][286]
205,Faroe Islands,664,1,662,[287][288]
206,Cayman Islands,543,2,526,[289]
207,Wallis and Futuna,444,7,11,[290]
208,Sahrawi Arab DR[ay],353,20,236,[291]
209,Brunei,227,3,218,[292][293]
210,British Virgin Islands,194,1,189,[294]
211,Dominica,174,0,172,[295]
212,Northern Mariana Islands,168,2,32,[296][297]
213,Grenada,160,1,158,[298]
214,Costa Atlantica,148,0,148,[299][300]
215,Greg Mortimer,128,1,No data,[301][302]
216,New Caledonia,124,0,30,[303]
217,Fiji,121,2,68,[304]
218,Anguilla,95,0,29,[305]
219,Falkland Islands,63,0,62,[306]
220,Antarctica,58,0,0,[307]
221,Macau,49,0,49,[308]
222,Saint Kitts and Nevis,45,0,44,[309][310]
223,Greenland,31,0,31,[311][312]
224,Vatican City,29,0,27,[313][314]
225,Saint Pierre and Miquelon,25,0,25,[315][316]
226,Montserrat,20,1,18,[317]
227,Sint Eustatius,20,0,20,[318]
228,Solomon Islands,20,0,18,[319][320]
229,MS Zaandam[az],13,4,No data,[323][324]
230,Coral Princess[ba],12,3,No data,[326]
231,SeaDream I[bb],9,0,No data,[327][328]
232,HNLMS Dolfijn[bc],8,0,8,[329][332]
233,Saba,7,0,6,[333]
234,"Saint Helena, Ascension and Tristan da Cunha",7,0,7,[334][335]
235,Marshall Islands,4,0,4,[336][337]
236,American Samoa,4,0,3,[338]
237,Samoa,4,0,2,[339][340]
238,Vanuatu,4,1,3,[341][342]
239,Federated States of Micronesia,1,0,1,[343]
240,Tanzania[bd],No data,No data,No data,[345][346]
