Rank,Location,totalCases,Deaths,Recoveries,References,Population,Age,GDP,CaseScaled,DeathScaled,Parent
1,World,"152,875,042","3,202,699","89,625,669",[2],"7,674,000,000",,,2,4.173441491,
2,United States,"32,610,374","583,148",No data,[9],"331,449,281",,,10,17.59388339,World
3,India,"19,557,457","215,542","15,992,271",[10],"1,352,642,280",,,1,1.593488561,World
4,Brazil,"14,725,975","406,565","13,242,665",[11][12],"210,147,125",,,7,19.3466839,World
5,France,"5,652,247","104,819",No data,[13][14],"67,406,000",,,8,15.55039611,World
6,Turkey,"4,875,388","40,844","4,480,381",[18],83614362,,,6,4.884806751,World
7,Russia,"4,831,744","111,198","4,450,289",[19],"83,614,362",,,6,13.2989115,World
8,United Kingdom,"4,420,201","127,538",No data,[21],"67,866,004",,,7,18.79261965,World
9,Italy,"4,044,762","121,177","3,492,679",[22],"60,317,116",,,7,20.08998573,World
10,Spain,"3,524,077","78,216",No data,[23],"47,450,795",,,7,16.48360159,World
11,Germany,"3,412,373","83,702","3,011,730",[25][24],"83,166,711",,,4,10.06436337,World
12,Argentina,"3,005,196","64,252","2,676,134",[27],"44,938,712",,,7,14.29769505,World
13,Colombia,"2,893,655","74,700","2,700,594",[28],"50,372,424",,,6,14.82954245,World
14,Poland,"2,805,756","68,105","2,529,844",[29],"38,268,000",,,7,17.79685377,World
15,Iran,"2,555,587","72,875","2,004,949",[30],"83,183,741",,,3,8.76072645,World
16,Mexico,"2,348,873","217,233","1,869,529",[31],"126,014,024",,,2,17.23879558,World
17,Ukraine,"2,085,938","44,750","1,681,815",[32][33],41527205,,,5,10.77606836,World
18,Peru,"1,810,998","62,126","1,754,906",[34][35],"32,824,358",,,6,18.9267982,World
19,Indonesia,"1,677,274","45,796","1,530,718",[36],270203917,,,1,1.694868102,World
20,Czech Republic,"1,634,619","29,365","1,562,295",[37],"10,707,839",,,15,27.42383407,World
21,South Africa,"1,584,064","54,417","1,507,778",[38][39],"59,622,350",,,3,9.126946523,World
22,Netherlands,"1,507,615","17,172",No data,[41][42],"17,469,635",,,9,9.829627236,World
23,Canada,"1,234,181","24,300","1,126,138",[45],"38,048,738",,,3,6.386545593,World
24,Chile,"1,210,920","26,561","1,143,565",[49],"17,574,003",,,7,15.1138019,World
25,Iraq,"1,074,930","15,536","957,200",[50],38433600,,,3,4.042296324,World
26,Philippines,"1,062,225","17,525","975,234",[51][52],"106,651,394",,,1,1.643204026,World
27,Romania,"1,058,337","28,380","997,749",[53],"19,317,984",,,5,14.69097396,World
28,Belgium,"995,562","24,291",No data,[55][56],"11,492,641",,,9,21.13613398,World
29,Sweden,"973,604","14,048",No data,[57],"10,385,347",,,9,13.52675072,World
30,Israel,"838,576","6,366","830,922",[58],"9,345,820",,,9,6.811601336,World
31,Portugal,"837,277","16,977","796,721",[59][60],"10,295,909",,,8,16.48907348,World
32,Pakistan,"834,146","18,149","728,044",[61],"212,228,286",,,0,0.855164047,World
33,Hungary,"784,111","27,908","528,201",[62],"9,730,000",,,8,28.68242549,World
34,Bangladesh,"763,682","11,644","691,162",[63][64],"161,376,708",,,0,0.72154155,World
35,Jordan,"712,077","8,871","685,010",[65],"10,658,123",,,7,8.323229146,World
36,Serbia,"691,920","6,409",No data,[66],"6,926,705",,,10,9.25259557,World
37,Switzerland,"659,974","10,027","317,600",[67][68],"8,570,146",,,8,11.69991736,World
38,Austria,"623,201","10,260","591,525",[69],"8,935,112",,,7,11.48278835,World
39,Japan,"602,862","10,361","531,069",[70],"125,410,000",,,0,0.826170162,World
40,Lebanon,"528,208","7,324","464,660",[71],"6,859,408",,,8,10.67730626,World
41,United Arab Emirates,"525,567","1,596","506,020",[72],"9,890,400",,,5,1.613685999,World
42,Morocco,"511,856","9,028","498,415",[73],"37,112,080",,,1,2.4326311,World
43,Saudi Arabia,"419,348","6,979","402,664",[74],"34,218,169",,,1,2.039559744,World
44,Malaysia,"417,512","1,551","385,208",[75],"32,730,000",,,1,0.473877177,World
45,Bulgaria,"405,194","16,492","340,442",[76][77],"6,916,548",,,6,23.84426451,World
46,Ecuador,"387,299","18,740","329,582",[78][79],"17,684,536",,,2,10.59682878,World
47,Slovakia,"383,228","11,807",No data,[80],"5,464,060",,,7,21.60847428,World
48,Panama,"365,104","6,238","354,974",[81],"4,176,869",,,9,14.93463166,World
49,Belarus,"361,897","2,572","352,464",[82],"9,408,400",,,4,2.733727308,World
50,Greece,"346,422","10,453",No data,[83],"10,718,565",,,3,9.752238289,World
51,Nepal,"336,030","3,325","283,994",[84],"28,095,714",,,1,1.18345453,World
52,Croatia,"335,522","7,218","316,926",[85],"4,058,165",,,8,17.78636403,World
53,Kazakhstan,"327,995","3,733","280,342",[86][87],"18,711,560",,,2,1.995023397,World
54,Azerbaijan,"321,380","4,561","293,689",[88],"10,127,874",,,3,4.503413056,World
55,Georgia,"312,954","4,163","294,252",[89],"3,716,858",,,8,11.20032027,World
56,Tunisia,"311,743","10,868","262,602",[90],"11,708,370",,,3,9.282248511,World
57,Bolivia,"307,561","13,021","253,406",[91],"11,428,245",,,3,11.39370043,World
58,Palestine,"297,638","3,272","275,392",[92],5159076,,,6,6.342220971,World
59,Paraguay,"282,543","6,572","233,453",[93],"7,359,000",,,4,8.930561218,World
